MiniLab	4/18/2025	1:30:03 PM	

Time (sec)	T1 (C)	T2 (C)	T3 (C)	T4 (C)	P1 (psig)	P2 (psig)	P3 (psig)	P4 (psig)	Fuel Flow  (gal/hr)	RPM	Thrust (lbs)
6391.059	71.044	92.820	148.604	74.207	-0.002	0.068	0.046	-0.015	0.002	13.411	0.940
6392.059	70.852	92.816	148.542	74.022	-0.002	0.067	0.046	-0.015	0.002	11.688	0.840
6393.059	70.678	92.747	147.690	74.256	-0.002	0.068	0.047	-0.015	0.002	10.418	0.895
6394.059	70.527	92.733	148.057	73.928	-0.002	0.066	0.046	-0.015	0.002	10.029	0.752
6395.060	70.330	92.663	147.950	74.164	-0.002	0.068	0.046	-0.015	0.002	9.147	0.731
6396.060	70.147	92.646	147.468	74.393	-0.002	0.067	0.046	-0.015	0.002	11.955	0.789
6397.061	69.951	92.589	147.671	74.295	-0.002	0.069	0.047	-0.015	0.002	11.429	0.786
6398.061	69.785	92.521	147.375	73.887	-0.002	0.068	0.045	-0.015	0.002	10.215	0.633
6399.060	69.649	92.533	147.149	74.583	-0.002	0.067	0.045	-0.015	0.002	11.292	0.608
6400.060	69.468	92.450	147.001	74.819	-0.002	0.067	0.046	-0.015	0.002	11.389	0.572
6401.060	69.282	92.389	147.152	73.962	-0.002	0.067	0.044	-0.015	0.002	10.345	0.517
6402.060	69.121	92.354	146.620	74.634	-0.002	0.068	0.047	-0.015	0.002	11.777	0.490
6403.060	68.998	92.369	146.515	74.526	-0.002	0.069	0.045	-0.015	0.002	11.753	0.532
6404.060	68.836	92.296	146.647	74.418	-0.002	0.067	0.046	-0.015	0.002	10.353	0.408
6405.060	68.670	92.248	146.816	74.323	-0.002	0.068	0.046	-0.015	0.002	11.915	0.419
6406.060	68.534	92.199	146.189	74.657	-0.002	0.067	0.045	-0.015	0.002	10.927	0.430
6407.060	68.425	92.215	146.194	74.688	-0.002	0.069	0.046	-0.015	0.002	12.424	0.490
6408.060	68.310	92.151	146.233	74.668	-0.002	0.067	0.046	-0.015	0.002	10.596	0.371
6409.060	68.243	92.098	145.898	74.845	-0.002	0.068	0.047	-0.014	0.002	11.170	0.303
6410.060	68.308	92.068	145.553	74.876	-0.002	0.067	0.046	-0.015	0.002	12.821	0.321
6411.060	68.254	92.017	145.516	75.297	-0.002	0.068	0.046	-0.015	0.002	10.304	0.226
6412.060	68.262	92.027	145.934	74.487	-0.002	0.069	0.046	-0.015	0.002	11.639	0.345
6413.060	68.339	91.966	145.702	74.766	-0.002	0.068	0.045	-0.015	0.002	11.122	0.165
6414.060	68.502	91.976	145.587	75.051	-0.002	0.068	0.046	-0.014	0.002	10.539	0.187
6415.061	68.861	91.908	146.123	75.301	-0.002	0.066	0.046	-0.015	0.002	11.259	0.116
6416.060	69.280	91.957	146.192	75.047	-0.002	0.070	0.044	-0.015	0.002	11.170	-0.019
6417.061	69.589	92.019	146.295	74.799	-0.002	0.067	0.046	-0.015	0.002	11.753	0.100
6418.061	69.796	91.977	146.319	74.522	-0.002	0.067	0.047	-0.014	0.002	11.591	-0.030
6419.061	69.873	91.983	146.571	74.685	-0.002	0.068	0.047	-0.015	0.002	8.848	0.079
6420.061	69.925	91.993	146.363	74.872	-0.002	0.068	0.046	-0.015	0.002	10.353	-0.005
6421.061	69.911	91.997	145.967	74.763	-0.002	0.068	0.046	-0.014	0.002	9.940	-0.052
6422.061	69.898	91.952	145.517	74.631	-0.002	0.069	0.047	-0.015	0.002	10.062	-0.108
6423.061	69.819	91.937	145.431	75.105	-0.002	0.066	0.046	-0.015	0.002	11.575	-0.124
6424.061	69.746	91.963	145.512	74.350	-0.002	0.068	0.047	-0.015	0.002	11.162	-1.979
6425.061	69.631	91.945	145.096	74.057	-0.002	0.067	0.046	-0.015	0.002	10.733	-1.403
6426.061	69.497	91.901	145.322	74.270	-0.002	0.068	0.046	-0.015	0.002	11.041	-1.424
6427.061	69.383	91.860	144.669	74.896	-0.002	0.067	0.046	-0.015	0.002	11.016	-1.450
6428.061	69.303	91.898	144.864	74.029	-0.002	0.067	0.047	-0.015	0.002	9.997	-1.417
6429.061	69.152	91.849	144.670	74.419	-0.002	0.068	0.047	-0.015	0.002	9.261	-1.361
6430.061	69.115	91.839	144.603	74.229	-0.002	0.068	0.047	-0.015	0.002	9.738	-1.335
6431.062	69.043	91.805	144.534	74.520	-0.002	0.068	0.048	-0.015	0.002	11.324	-1.338
6432.061	69.026	91.817	144.574	74.517	-0.002	0.068	0.046	-0.015	0.002	11.898	-1.215
6433.061	68.993	91.767	144.109	75.179	-0.002	0.067	0.047	-0.015	0.002	12.141	-1.261
6434.061	68.973	91.800	144.245	74.473	-0.002	0.069	0.048	-0.015	0.002	11.413	-1.378
6435.061	68.899	91.736	143.342	74.284	-0.002	0.069	0.046	-0.015	0.002	10.256	-1.393
6436.061	68.780	91.744	143.337	74.408	-0.002	0.071	0.046	-0.015	0.002	10.790	-1.335
6437.061	68.736	91.757	143.814	74.622	-0.002	0.069	0.048	-0.015	0.002	10.652	-1.425
6438.061	68.604	91.722	143.858	74.329	-0.002	0.069	0.047	-0.015	0.002	11.518	-1.285
6439.062	68.521	91.694	144.182	74.543	-0.002	0.068	0.045	-0.015	0.002	11.453	-1.513
6440.062	68.437	91.700	143.248	74.708	-0.002	0.069	0.046	-0.015	0.002	10.458	-1.488
6441.062	68.408	91.661	142.946	74.319	-0.002	0.067	0.048	-0.015	0.002	10.539	-1.391
6442.062	68.425	91.644	143.053	74.432	-0.002	0.069	0.045	-0.015	0.002	11.025	-1.470
6443.062	68.450	91.613	143.476	74.585	-0.002	0.068	0.047	-0.015	0.002	11.292	-1.499
6444.062	68.431	91.574	143.044	74.170	-0.002	0.067	0.048	-0.015	0.002	11.429	-1.549
6445.062	68.526	91.588	143.007	74.528	-0.002	0.068	0.047	-0.015	0.002	10.677	-1.595
6446.063	68.692	91.565	143.368	74.637	-0.002	0.068	0.048	-0.014	0.002	11.016	-1.536
6447.063	69.023	91.571	143.276	74.400	-0.002	0.069	0.046	-0.014	0.002	10.976	-1.472
6448.063	69.433	91.504	144.066	74.213	-0.002	0.069	0.046	-0.014	0.002	10.466	-1.562
6449.063	69.817	91.528	143.936	74.340	-0.002	0.068	0.048	-0.014	0.002	11.607	-1.560
6450.063	70.171	91.521	143.571	74.201	-0.002	0.068	0.047	-0.014	0.002	11.534	-1.647
6451.063	70.555	91.537	144.216	73.891	-0.002	0.069	0.048	-0.014	0.002	10.458	-1.620
6452.063	70.931	91.529	144.283	74.212	-0.002	0.068	0.046	-0.015	0.002	10.102	-1.598
6453.063	71.325	91.532	144.689	74.203	-0.002	0.066	0.048	-0.014	0.002	10.701	-1.623
6454.063	71.584	91.511	144.705	74.010	-0.002	0.067	0.047	-0.014	0.002	10.183	-1.656
6455.063	71.728	91.514	144.271	73.704	-0.002	0.067	0.047	-0.015	0.002	11.203	-1.648
6456.063	71.804	91.479	143.811	73.585	-0.002	0.068	0.047	-0.015	0.002	9.851	-1.795
6457.063	71.813	91.511	143.505	73.833	-0.002	0.067	0.047	-0.015	0.002	10.806	-1.684
6458.063	71.806	91.493	143.851	73.169	-0.002	0.067	0.045	-0.015	0.002	12.012	-1.778
6459.063	71.748	91.441	143.904	73.727	-0.002	0.068	0.047	-0.015	0.002	10.774	-1.851
6460.063	71.711	91.469	143.301	73.760	-0.002	0.069	0.047	-0.015	0.002	10.102	-1.821
